payment_id,customer_id,staff_id,rental_id,amount,payment_date_year,payment_date_month,payment_date_day,payment_date_hour,payment_date_minute,payment_date_second,last_update_year,last_update_month,last_update_day,last_update_hour,last_update_minute,last_update_second
30,1,1,14825,1.99,2005,8,22,1,27,57,2021,3,6,15,55,57
31,1,2,15298,2.99,2005,8,22,19,41,37,2021,3,6,15,55,57
32,1,1,15315,5.99,2005,8,22,20,3,46,2021,3,6,15,55,57
33,2,1,320,4.99,2005,5,27,0,9,24,2021,3,6,15,55,57
34,2,1,2128,2.99,2005,6,17,20,54,58,2021,3,6,15,55,57
35,2,1,5636,2.99,2005,7,10,6,31,24,2021,3,6,15,55,57
36,2,1,5755,6.99,2005,7,10,12,38,56,2021,3,6,15,55,57
37,2,2,7346,4.99,2005,7,27,14,30,42,2021,3,6,15,55,57
38,2,1,7376,5.99,2005,7,27,15,23,2,2021,3,6,15,55,57
39,2,2,7459,5.99,2005,7,27,18,40,20,2021,3,6,15,55,57
40,2,2,8230,5.99,2005,7,29,0,12,59,2021,3,6,15,55,57
41,2,1,8598,2.99,2005,7,29,12,56,59,2021,3,6,15,55,57
42,2,2,8705,5.99,2005,7,29,17,14,29,2021,3,6,15,55,57
43,2,1,9031,4.99,2005,7,30,6,6,10,2021,3,6,15,55,57
44,2,2,9236,10.99,2005,7,30,13,47,43,2021,3,6,15,55,57
45,2,2,9248,0.99,2005,7,30,14,14,11,2021,3,6,15,55,57
46,2,2,9296,6.99,2005,7,30,16,21,13,2021,3,6,15,55,57
47,2,2,9465,6.99,2005,7,30,22,39,53,2021,3,6,15,55,57
48,2,1,10136,2.99,2005,7,31,21,58,56,2021,3,6,15,55,57
49,2,1,10466,0.99,2005,8,1,9,45,26,2021,3,6,15,55,57
50,2,1,10918,0.99,2005,8,2,2,10,56,2021,3,6,15,55,57
51,2,1,11087,5.99,2005,8,2,7,41,41,2021,3,6,15,55,57
52,2,1,11177,6.99,2005,8,2,10,43,48,2021,3,6,15,55,57
53,2,2,11256,2.99,2005,8,2,13,44,53,2021,3,6,15,55,57
54,2,1,11614,2.99,2005,8,17,3,52,18,2021,3,6,15,55,57
55,2,1,12963,2.99,2005,8,19,6,26,4,2021,3,6,15,55,57
56,2,1,14475,4.99,2005,8,21,13,24,32,2021,3,6,15,55,57
57,2,2,14743,5.99,2005,8,21,22,41,56,2021,3,6,15,55,57
58,2,2,15145,4.99,2005,8,22,13,53,4,2021,3,6,15,55,57
59,2,2,15907,4.99,2005,8,23,17,39,35,2021,3,6,15,55,57
60,3,1,435,1.99,2005,5,27,17,17,9,2021,3,6,15,55,57
61,3,1,830,2.99,2005,5,29,22,43,55,2021,3,6,15,55,57
62,3,1,1546,8.99,2005,6,16,1,34,5,2021,3,6,15,55,57
63,3,1,1726,6.99,2005,6,16,15,19,10,2021,3,6,15,55,57
64,3,2,1911,6.99,2005,6,17,5,15,15,2021,3,6,15,55,57
65,3,1,2628,2.99,2005,6,19,8,34,53,2021,3,6,15,55,57
66,3,1,4180,4.99,2005,7,7,10,23,25,2021,3,6,15,55,57
67,3,1,4725,4.99,2005,7,8,12,47,11,2021,3,6,15,55,57
68,3,1,7096,5.99,2005,7,27,4,54,42,2021,3,6,15,55,57
69,3,2,7503,10.99,2005,7,27,20,23,12,2021,3,6,15,55,57
70,3,2,7703,7.99,2005,7,28,3,59,21,2021,3,6,15,55,57
71,3,2,7724,6.99,2005,7,28,4,46,30,2021,3,6,15,55,57
72,3,1,7911,4.99,2005,7,28,11,46,45,2021,3,6,15,55,57
73,3,2,8086,4.99,2005,7,28,18,17,14,2021,3,6,15,55,57
74,3,1,8545,2.99,2005,7,29,11,7,4,2021,3,6,15,55,57
75,3,1,9226,1.99,2005,7,30,13,31,20,2021,3,6,15,55,57
76,3,2,9443,3.99,2005,7,30,21,45,46,2021,3,6,15,55,57
77,3,1,9595,2.99,2005,7,31,3,27,58,2021,3,6,15,55,57
78,3,2,9816,4.99,2005,7,31,11,32,58,2021,3,6,15,55,57
79,3,2,10597,5.99,2005,8,1,14,19,48,2021,3,6,15,55,57
80,3,2,12556,4.99,2005,8,18,14,49,55,2021,3,6,15,55,57
81,3,1,13403,8.99,2005,8,19,22,18,7,2021,3,6,15,55,57
82,3,2,13610,2.99,2005,8,20,6,14,12,2021,3,6,15,55,57
83,3,2,14699,8.99,2005,8,21,20,50,48,2021,3,6,15,55,57
84,3,2,15038,0.99,2005,8,22,9,37,27,2021,3,6,15,55,58
85,3,1,15619,2.99,2005,8,23,7,10,14,2021,3,6,15,55,58
86,4,1,1297,4.99,2005,6,15,9,31,28,2021,3,6,15,55,58
87,4,1,1633,0.99,2005,6,16,8,8,40,2021,3,6,15,55,58
88,4,2,1707,2.99,2005,6,16,14,1,27,2021,3,6,15,55,58
89,4,2,1735,0.99,2005,6,16,15,51,52,2021,3,6,15,55,58
90,4,2,2043,0.99,2005,6,17,14,31,12,2021,3,6,15,55,58
91,4,1,2642,5.99,2005,6,19,9,39,1,2021,3,6,15,55,58
92,4,1,7660,2.99,2005,7,28,2,10,10,2021,3,6,15,55,58
93,4,2,7718,2.99,2005,7,28,4,37,59,2021,3,6,15,55,58
94,4,1,8741,3.99,2005,7,29,18,44,57,2021,3,6,15,55,58
95,4,1,9100,5.99,2005,7,30,8,46,9,2021,3,6,15,55,58
96,4,1,9371,5.99,2005,7,30,18,58,0,2021,3,6,15,55,58
97,4,2,11069,0.99,2005,8,2,7,9,34,2021,3,6,15,55,58
98,4,1,11110,2.99,2005,8,2,8,20,31,2021,3,6,15,55,58
99,4,2,11529,4.99,2005,8,17,0,28,1,2021,3,6,15,55,58
100,4,1,12151,2.99,2005,8,18,0,14,3,2021,3,6,15,55,58
101,4,2,12294,8.99,2005,8,18,5,14,44,2021,3,6,15,55,58
102,4,2,12856,1.99,2005,8,19,2,19,13,2021,3,6,15,55,58
103,4,1,13704,2.99,2005,8,20,9,32,4,2021,3,6,15,55,58
104,4,1,13807,6.99,2005,8,20,12,55,40,2021,3,6,15,55,58
105,4,2,14225,4.99,2005,8,21,4,53,37,2021,3,6,15,55,58
106,4,1,15147,2.99,2005,8,22,13,58,23,2021,3,6,15,55,58
107,4,2,15635,1.99,2005,8,23,7,43,0,2021,3,6,15,55,58
108,5,1,731,0.99,2005,5,29,7,25,16,2021,3,6,15,55,58
109,5,1,1085,6.99,2005,5,31,11,15,43,2021,3,6,15,55,58
110,5,1,1142,1.99,2005,5,31,19,46,38,2021,3,6,15,55,58
111,5,1,1502,3.99,2005,6,15,22,3,14,2021,3,6,15,55,58
112,5,2,1631,2.99,2005,6,16,8,1,2,2021,3,6,15,55,58
113,5,2,2063,4.99,2005,6,17,15,56,53,2021,3,6,15,55,58
114,5,2,2570,2.99,2005,6,19,4,20,13,2021,3,6,15,55,58
115,5,2,3126,4.99,2005,6,20,18,38,22,2021,3,6,15,55,58
116,5,2,3677,4.99,2005,7,6,9,11,58,2021,3,6,15,55,58
117,5,2,4889,2.99,2005,7,8,20,4,43,2021,3,6,15,55,58
118,5,1,5016,4.99,2005,7,9,1,57,57,2021,3,6,15,55,58
119,5,2,5118,5.99,2005,7,9,7,13,52,2021,3,6,15,55,58
120,5,2,5156,1.99,2005,7,9,8,51,42,2021,3,6,15,55,58
121,5,2,5721,0.99,2005,7,10,11,9,35,2021,3,6,15,55,58
122,5,1,6042,8.99,2005,7,11,3,17,4,2021,3,6,15,55,58
123,5,1,6663,3.99,2005,7,12,11,27,35,2021,3,6,15,55,58
124,5,2,6685,4.99,2005,7,12,12,16,28,2021,3,6,15,55,58
125,5,2,7293,0.99,2005,7,27,12,37,28,2021,3,6,15,55,58
126,5,2,7652,0.99,2005,7,28,1,50,29,2021,3,6,15,55,58
127,5,2,7829,3.99,2005,7,28,8,43,39,2021,3,6,15,55,58
128,5,1,8263,2.99,2005,7,29,1,11,23,2021,3,6,15,55,58
129,5,1,8978,1.99,2005,7,30,4,14,28,2021,3,6,15,55,58
130,5,1,9493,4.99,2005,7,30,23,52,30,2021,3,6,15,55,58
131,5,1,9888,3.99,2005,7,31,14,0,53,2021,3,6,15,55,58
132,5,2,10609,4.99,2005,8,1,14,48,45,2021,3,6,15,55,58
133,5,1,10625,0.99,2005,8,1,15,27,10,2021,3,6,15,55,58
134,5,2,11001,4.99,2005,8,2,4,56,45,2021,3,6,15,55,58
135,5,1,11179,4.99,2005,8,2,10,50,6,2021,3,6,15,55,58
136,5,2,11930,3.99,2005,8,17,16,28,53,2021,3,6,15,55,58
137,5,1,12145,9.99,2005,8,18,0,10,4,2021,3,6,15,55,58
138,5,1,12797,2.99,2005,8,19,0,24,8,2021,3,6,15,55,58
139,5,1,13063,1.99,2005,8,19,9,45,41,2021,3,6,15,55,58
140,5,2,13877,0.99,2005,8,20,15,16,18,2021,3,6,15,55,58
141,5,2,14053,6.99,2005,8,20,22,13,59,2021,3,6,15,55,58
142,5,1,14430,6.99,2005,8,21,11,31,11,2021,3,6,15,55,58
143,5,2,14494,2.99,2005,8,21,14,2,50,2021,3,6,15,55,58
144,5,2,15232,0.99,2005,8,22,17,37,2,2021,3,6,15,55,58
145,5,2,13209,0.99,2006,2,14,15,16,3,2021,3,6,15,55,58
146,6,2,57,4.99,2005,5,25,8,43,32,2021,3,6,15,55,58
147,6,1,577,2.99,2005,5,28,11,9,14,2021,3,6,15,55,58
148,6,2,916,0.99,2005,5,30,11,25,1,2021,3,6,15,55,58
149,6,1,1575,3.99,2005,6,16,3,41,38,2021,3,6,15,55,58
150,6,2,1841,2.99,2005,6,16,23,44,13,2021,3,6,15,55,58
151,6,1,1966,0.99,2005,6,17,9,19,45,2021,3,6,15,55,58
152,6,1,2345,0.99,2005,6,18,12,3,23,2021,3,6,15,55,58
153,6,2,3983,0.99,2005,7,6,23,14,21,2021,3,6,15,55,58
154,6,2,4278,2.99,2005,7,7,14,53,24,2021,3,6,15,55,58
155,6,1,5553,0.99,2005,7,10,3,3,35,2021,3,6,15,55,58
156,6,2,6211,5.99,2005,7,11,12,39,1,2021,3,6,15,55,58
157,6,1,6248,7.99,2005,7,11,15,1,54,2021,3,6,15,55,58
158,6,2,6686,0.99,2005,7,12,12,18,38,2021,3,6,15,55,58
159,6,2,7099,2.99,2005,7,27,5,3,44,2021,3,6,15,55,58
160,6,2,7136,2.99,2005,7,27,6,38,25,2021,3,6,15,55,58
161,6,1,8101,0.99,2005,7,28,18,47,23,2021,3,6,15,55,58
162,6,1,10271,2.99,2005,8,1,3,13,39,2021,3,6,15,55,58
163,6,1,11023,2.99,2005,8,2,5,36,38,2021,3,6,15,55,58
164,6,1,11398,3.99,2005,8,2,18,55,15,2021,3,6,15,55,58
165,6,1,11591,6.99,2005,8,17,2,29,41,2021,3,6,15,55,58
166,6,1,11727,0.99,2005,8,17,8,12,20,2021,3,6,15,55,58
167,6,1,11853,0.99,2005,8,17,13,39,32,2021,3,6,15,55,58
168,6,2,12254,2.99,2005,8,18,4,5,29,2021,3,6,15,55,58
169,6,2,13451,6.99,2005,8,20,0,18,25,2021,3,6,15,55,58
170,6,1,14329,7.99,2005,8,21,8,22,56,2021,3,6,15,55,58
171,6,1,14377,4.99,2005,8,21,9,49,28,2021,3,6,15,55,58
172,6,1,15509,5.99,2005,8,23,2,51,24,2021,3,6,15,55,58
173,6,2,15603,0.99,2005,8,23,6,41,32,2021,3,6,15,55,58
174,7,2,46,5.99,2005,5,25,6,4,8,2021,3,6,15,55,58
175,7,2,117,0.99,2005,5,25,19,30,46,2021,3,6,15,55,58
176,7,2,748,2.99,2005,5,29,9,27,0,2021,3,6,15,55,58
177,7,1,975,4.99,2005,5,30,21,7,15,2021,3,6,15,55,58
178,7,1,1063,5.99,2005,5,31,8,44,29,2021,3,6,15,55,58
179,7,2,1810,0.99,2005,6,16,21,6,0,2021,3,6,15,55,58
180,7,1,2250,2.99,2005,6,18,5,3,36,2021,3,6,15,55,58
181,7,1,2709,0.99,2005,6,19,14,0,26,2021,3,6,15,55,58
182,7,1,2888,4.99,2005,6,20,1,50,56,2021,3,6,15,55,58
183,7,1,3007,0.99,2005,6,20,10,11,53,2021,3,6,15,55,58
184,7,2,3639,5.99,2005,7,6,7,9,17,2021,3,6,15,55,58
185,7,2,4238,2.99,2005,7,7,13,22,20,2021,3,6,15,55,58
186,7,2,4787,5.99,2005,7,8,16,16,4,2021,3,6,15,55,58
187,7,1,4856,4.99,2005,7,8,18,47,38,2021,3,6,15,55,58
188,7,1,5441,8.99,2005,7,9,21,52,5,2021,3,6,15,55,58
189,7,1,5921,7.99,2005,7,10,21,35,12,2021,3,6,15,55,58
190,7,1,6174,1.99,2005,7,11,10,36,28,2021,3,6,15,55,58
191,7,1,6295,2.99,2005,7,11,17,30,58,2021,3,6,15,55,58
192,7,2,6761,3.99,2005,7,12,15,17,42,2021,3,6,15,55,58
193,7,2,8422,5.99,2005,7,29,7,2,55,2021,3,6,15,55,58
194,7,2,9624,7.99,2005,7,31,4,30,3,2021,3,6,15,55,58
195,7,2,10330,6.99,2005,8,1,4,57,4,2021,3,6,15,55,58
196,7,1,10423,5.99,2005,8,1,8,19,53,2021,3,6,15,55,58
197,7,1,10514,4.99,2005,8,1,11,39,26,2021,3,6,15,55,59
198,7,2,10644,4.99,2005,8,1,15,52,0,2021,3,6,15,55,59
199,7,2,10989,3.99,2005,8,2,4,40,54,2021,3,6,15,55,59
200,7,2,11542,7.99,2005,8,17,0,51,32,2021,3,6,15,55,59
201,7,1,12367,8.99,2005,8,18,7,57,14,2021,3,6,15,55,59
202,7,1,12730,2.99,2005,8,18,21,55,1,2021,3,6,15,55,59
203,7,2,13373,2.99,2005,8,19,21,23,31,2021,3,6,15,55,59
204,7,1,13476,2.99,2005,8,20,1,6,4,2021,3,6,15,55,59
205,7,1,13594,0.99,2005,8,20,5,53,31,2021,3,6,15,55,59
206,7,1,14222,5.99,2005,8,21,4,49,48,2021,3,6,15,55,59
207,8,2,866,6.99,2005,5,30,3,43,54,2021,3,6,15,55,59
208,8,2,1305,2.99,2005,6,15,9,59,16,2021,3,6,15,55,59
209,8,1,2095,5.99,2005,6,17,18,21,35,2021,3,6,15,55,59
210,8,2,3114,4.99,2005,6,20,17,57,47,2021,3,6,15,55,59
211,8,1,3475,5.99,2005,7,5,23,1,21,2021,3,6,15,55,59
212,8,1,4003,0.99,2005,7,7,0,9,2,2021,3,6,15,55,59
213,8,2,4175,2.99,2005,7,7,10,2,3,2021,3,6,15,55,59
214,8,2,4409,3.99,2005,7,7,21,47,29,2021,3,6,15,55,59
215,8,1,4503,3.99,2005,7,8,2,17,12,2021,3,6,15,55,59
216,8,1,5300,2.99,2005,7,9,15,40,46,2021,3,6,15,55,59
217,8,2,5341,2.99,2005,7,9,17,13,23,2021,3,6,15,55,59
218,8,1,6375,4.99,2005,7,11,21,39,46,2021,3,6,15,55,59
219,8,1,6647,0.99,2005,7,12,10,43,53,2021,3,6,15,55,59
220,8,1,8809,1.99,2005,7,29,21,42,49,2021,3,6,15,55,59
221,8,2,9629,2.99,2005,7,31,4,54,43,2021,3,6,15,55,59
222,8,2,10141,0.99,2005,7,31,22,8,29,2021,3,6,15,55,59
223,8,2,10561,2.99,2005,8,1,13,5,35,2021,3,6,15,55,59
224,8,1,11232,9.99,2005,8,2,13,4,12,2021,3,6,15,55,59
225,8,2,11284,2.99,2005,8,2,14,42,45,2021,3,6,15,55,59
226,8,1,12613,2.99,2005,8,18,17,16,1,2021,3,6,15,55,59
227,8,1,14114,0.99,2005,8,21,1,7,11,2021,3,6,15,55,59
228,8,1,15374,7.99,2005,8,22,22,9,9,2021,3,6,15,55,59
229,8,1,15764,2.99,2005,8,23,13,5,10,2021,3,6,15,55,59
230,8,1,15805,4.99,2005,8,23,14,31,19,2021,3,6,15,55,59
231,9,2,350,4.99,2005,5,27,5,1,28,2021,3,6,15,55,59
232,9,2,877,0.99,2005,5,30,5,48,59,2021,3,6,15,55,59
233,9,2,1075,4.99,2005,5,31,10,13,34,2021,3,6,15,55,59
234,9,2,3142,7.99,2005,6,20,19,59,28,2021,3,6,15,55,59
235,9,2,3262,4.99,2005,6,21,4,8,43,2021,3,6,15,55,59
236,9,1,4454,2.99,2005,7,7,23,37,0,2021,3,6,15,55,59
237,9,2,4748,0.99,2005,7,8,13,59,38,2021,3,6,15,55,59
238,9,1,4796,1.99,2005,7,8,16,35,44,2021,3,6,15,55,59
239,9,1,5659,2.99,2005,7,10,7,45,40,2021,3,6,15,55,59
240,9,2,6019,4.99,2005,7,11,2,8,29,2021,3,6,15,55,59
241,9,1,6165,5.99,2005,7,11,10,17,29,2021,3,6,15,55,59
242,9,2,7616,0.99,2005,7,28,0,15,26,2021,3,6,15,55,59
243,9,1,7801,2.99,2005,7,28,7,51,56,2021,3,6,15,55,59
244,9,1,9043,4.99,2005,7,30,6,34,7,2021,3,6,15,55,59
245,9,1,10451,0.99,2005,8,1,9,11,25,2021,3,6,15,55,59
246,9,1,10454,4.99,2005,8,1,9,14,0,2021,3,6,15,55,59
247,9,2,11400,5.99,2005,8,2,19,0,52,2021,3,6,15,55,59
248,9,1,11556,0.99,2005,8,17,1,11,53,2021,3,6,15,55,59
249,9,1,12228,2.99,2005,8,18,3,8,10,2021,3,6,15,55,59
250,9,1,12309,2.99,2005,8,18,5,58,40,2021,3,6,15,55,59
251,9,2,12652,4.99,2005,8,18,18,48,58,2021,3,6,15,55,59
252,9,2,14489,7.99,2005,8,21,13,53,59,2021,3,6,15,55,59
253,9,1,15813,4.99,2006,2,14,15,16,3,2021,3,6,15,55,59
254,10,2,1140,4.99,2005,5,31,19,36,30,2021,3,6,15,55,59
255,10,1,1801,4.99,2005,6,16,20,21,53,2021,3,6,15,55,59
256,10,1,1995,4.99,2005,6,17,11,11,14,2021,3,6,15,55,59
257,10,2,2222,3.99,2005,6,18,3,26,23,2021,3,6,15,55,59
258,10,1,2814,0.99,2005,6,19,20,1,59,2021,3,6,15,55,59
259,10,1,2865,0.99,2005,6,20,0,0,55,2021,3,6,15,55,59
260,10,2,3790,3.99,2005,7,6,14,13,45,2021,3,6,15,55,59
261,10,2,4042,4.99,2005,7,7,3,6,40,2021,3,6,15,55,59
262,10,1,4255,1.99,2005,7,7,14,14,13,2021,3,6,15,55,59
263,10,1,5038,7.99,2005,7,9,3,12,52,2021,3,6,15,55,59
264,10,2,5068,2.99,2005,7,9,4,53,18,2021,3,6,15,55,59
265,10,1,5444,0.99,2005,7,9,21,58,57,2021,3,6,15,55,59
266,10,1,5905,2.99,2005,7,10,20,41,9,2021,3,6,15,55,59
267,10,1,7738,2.99,2005,7,28,5,21,42,2021,3,6,15,55,59
268,10,2,8001,6.99,2005,7,28,15,10,55,2021,3,6,15,55,59
269,10,2,8188,4.99,2005,7,28,22,34,12,2021,3,6,15,55,59
270,10,1,9935,4.99,2005,7,31,15,27,7,2021,3,6,15,55,59
271,10,2,10671,8.99,2005,8,1,17,9,59,2021,3,6,15,55,59
272,10,2,11289,2.99,2005,8,2,14,55,0,2021,3,6,15,55,59
273,10,1,11405,0.99,2005,8,2,19,13,39,2021,3,6,15,55,59
274,10,2,12031,2.99,2005,8,17,20,11,35,2021,3,6,15,55,59
275,10,2,12400,2.99,2005,8,18,9,19,12,2021,3,6,15,55,59
276,10,2,13316,4.99,2005,8,19,19,23,30,2021,3,6,15,55,59
277,10,2,13917,2.99,2005,8,20,16,43,28,2021,3,6,15,55,59
278,10,1,15370,5.99,2005,8,22,21,59,29,2021,3,6,15,55,59
279,11,1,987,6.99,2005,5,30,22,59,12,2021,3,6,15,55,59
280,11,1,1470,6.99,2005,6,15,20,53,7,2021,3,6,15,55,59
281,11,1,1939,7.99,2005,6,17,7,26,45,2021,3,6,15,55,59
282,11,1,3192,0.99,2005,6,20,23,49,12,2021,3,6,15,55,59
283,11,2,4608,2.99,2005,7,8,7,19,11,2021,3,6,15,55,59
284,11,1,4943,4.99,2005,7,8,22,43,5,2021,3,6,15,55,59
285,11,2,5835,5.99,2005,7,10,16,44,58,2021,3,6,15,55,59
286,11,2,6146,6.99,2005,7,11,9,9,59,2021,3,6,15,55,59
287,11,1,7314,4.99,2005,7,27,13,13,32,2021,3,6,15,55,59
288,11,1,8014,4.99,2005,7,28,15,32,7,2021,3,6,15,55,59
289,11,2,8100,2.99,2005,7,28,18,43,11,2021,3,6,15,55,59
290,11,2,8447,1.99,2005,7,29,7,38,14,2021,3,6,15,55,59
291,11,1,8715,0.99,2005,7,29,17,33,45,2021,3,6,15,55,59
292,11,1,8950,9.99,2005,7,30,3,17,13,2021,3,6,15,55,59
293,11,2,9292,6.99,2005,7,30,16,8,21,2021,3,6,15,55,59
294,11,1,10812,4.99,2005,8,1,22,41,16,2021,3,6,15,55,59
295,11,2,11166,6.99,2005,8,2,10,14,58,2021,3,6,15,55,59
296,11,2,11502,0.99,2005,8,16,23,6,30,2021,3,6,15,55,59
297,11,2,12015,5.99,2005,8,17,19,32,44,2021,3,6,15,55,59
298,11,2,13572,0.99,2005,8,20,5,7,27,2021,3,6,15,55,59
299,11,1,13790,4.99,2005,8,20,12,17,27,2021,3,6,15,55,59
300,11,1,15120,0.99,2005,8,22,12,42,47,2021,3,6,15,55,59
301,11,2,15240,2.99,2005,8,22,17,46,41,2021,3,6,15,55,59
302,11,1,11646,0.99,2006,2,14,15,16,3,2021,3,6,15,55,59
303,12,1,988,4.99,2005,5,30,23,8,3,2021,3,6,15,55,59
304,12,1,1084,4.99,2005,5,31,11,10,17,2021,3,6,15,55,59
305,12,2,1752,5.99,2005,6,16,17,2,55,2021,3,6,15,55,59
306,12,2,2434,5.99,2005,6,18,18,11,51,2021,3,6,15,55,59
307,12,2,2500,5.99,2005,6,18,23,7,12,2021,3,6,15,55,59
308,12,2,2623,4.99,2005,6,19,8,11,51,2021,3,6,15,55,59
309,12,2,3135,2.99,2005,6,20,19,33,52,2021,3,6,15,55,59
310,12,1,3411,0.99,2005,6,21,16,31,27,2021,3,6,15,56,0
311,12,1,3870,3.99,2005,7,6,17,57,54,2021,3,6,15,56,0
312,12,1,5071,0.99,2005,7,9,5,0,39,2021,3,6,15,56,0
313,12,1,5074,0.99,2005,7,9,5,6,24,2021,3,6,15,56,0
314,12,2,5111,0.99,2005,7,9,7,2,19,2021,3,6,15,56,0
315,12,2,5242,3.99,2005,7,9,13,20,25,2021,3,6,15,56,0
316,12,1,6773,2.99,2005,7,12,15,55,39,2021,3,6,15,56,0
317,12,2,7008,0.99,2005,7,27,1,44,3,2021,3,6,15,56,0
318,12,2,7279,0.99,2005,7,27,11,50,47,2021,3,6,15,56,0
319,12,2,8985,0.99,2005,7,30,4,34,51,2021,3,6,15,56,0
320,12,2,9166,4.99,2005,7,30,11,26,28,2021,3,6,15,56,0
321,12,2,9238,5.99,2005,7,30,13,49,43,2021,3,6,15,56,0
322,12,1,9627,5.99,2005,7,31,4,42,46,2021,3,6,15,56,0
323,12,2,9708,5.99,2005,7,31,7,45,33,2021,3,6,15,56,0
324,12,2,10392,10.99,2005,8,1,6,50,26,2021,3,6,15,56,0
325,12,2,11497,0.99,2005,8,16,22,52,30,2021,3,6,15,56,0
326,12,1,12604,4.99,2005,8,18,16,58,48,2021,3,6,15,56,0
327,12,2,13519,0.99,2005,8,20,2,37,7,2021,3,6,15,56,0
328,12,2,13895,2.99,2005,8,20,15,58,28,2021,3,6,15,56,0
329,12,2,14240,4.99,2005,8,21,5,19,39,2021,3,6,15,56,0
330,12,1,15993,0.99,2005,8,23,20,28,44,2021,3,6,15,56,0
331,13,1,1933,2.99,2005,6,17,6,54,42,2021,3,6,15,56,0
332,13,1,2209,4.99,2005,6,18,2,24,1,2021,3,6,15,56,0
333,13,1,2952,2.99,2005,6,20,6,26,57,2021,3,6,15,56,0
334,13,1,3047,8.99,2005,6,20,12,45,33,2021,3,6,15,56,0
335,13,2,3946,2.99,2005,7,6,21,39,24,2021,3,6,15,56,0
336,13,1,6118,8.99,2005,7,11,7,43,8,2021,3,6,15,56,0
337,13,1,6568,2.99,2005,7,12,5,45,47,2021,3,6,15,56,0
338,13,1,6870,0.99,2005,7,12,20,13,45,2021,3,6,15,56,0
339,13,1,6897,2.99,2005,7,12,21,30,41,2021,3,6,15,56,0
340,13,1,7916,2.99,2005,7,28,11,49,53,2021,3,6,15,56,0
341,13,1,8277,2.99,2005,7,29,1,38,53,2021,3,6,15,56,0
342,13,2,8831,11.99,2005,7,29,22,37,41,2021,3,6,15,56,0
343,13,2,9260,9.99,2005,7,30,14,38,22,2021,3,6,15,56,0
344,13,2,9434,0.99,2005,7,30,21,29,41,2021,3,6,15,56,0
345,13,1,9664,0.99,2005,7,31,6,12,8,2021,3,6,15,56,0
346,13,1,9736,7.99,2005,7,31,8,58,40,2021,3,6,15,56,0
347,13,1,10003,4.99,2005,7,31,17,48,51,2021,3,6,15,56,0
348,13,1,11292,4.99,2005,8,2,14,58,41,2021,3,6,15,56,0
349,13,2,11315,0.99,2005,8,2,16,5,17,2021,3,6,15,56,0
350,13,2,11761,5.99,2005,8,17,9,44,59,2021,3,6,15,56,0
351,13,2,12918,7.99,2005,8,19,4,31,36,2021,3,6,15,56,0
352,13,2,13096,4.99,2005,8,19,10,49,3,2021,3,6,15,56,0
353,13,2,13213,0.99,2005,8,19,15,25,48,2021,3,6,15,56,0
354,13,1,13456,0.99,2005,8,20,0,33,19,2021,3,6,15,56,0
