CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",None,Versailles,None,78000,France,EMEA,Tonini,Daniel
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,None,San Rafael,CA,97562,USA,None,Nelson,Valarie
Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,None,Nashua,NH,62005,USA,None,Young,Valarie
Collectables For Less Inc.,6175558555,7825 Douglas Av.,None,Brickhaven,MA,58339,USA,None,Nelson,Allen
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,None,Montreal,Quebec,H1J 1C3,Canada,None,Fresnisre,Jean
Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",None,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,None,Philadelphia,PA,71270,USA,None,Hernandez,Rosa
Atelier graphique,40.32.2555,"54, rue Royale",None,Nantes,None,44000,France,EMEA,Schmitt,Carine
Mini Classics,9145554562,3758 North Pendale Street,None,White Plains,NY,24067,USA,None,Frick,Steve
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,None,Kobenhavn,None,1734,Denmark,EMEA,Petersen,Jytte
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,None,London,None,WX3 6FW,UK,EMEA,Brown,Ann
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,None,New Bedford,MA,50553,USA,None,Tam,Wing C
Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,None,Toulouse,None,31000,France,EMEA,Roulet,Annette
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,None,London,None,WA1 1DP,UK,EMEA,Hardy,Thomas
Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",None,Barcelona,None,8022,Spain,EMEA,Saavedra,Eduardo
"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,None,Los Angeles,CA,None,USA,None,Chandler,Michael
Collectable Mini Designs Co.,7605558146,361 Furth Circle,None,San Diego,CA,91217,USA,None,Thompson,Valarie
Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,None,Bruxelles,None,B-1180,Belgium,EMEA,Dewey,Catherine
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,None,Tsawassen,BC,T2F 8M4,Canada,None,Lincoln,Elizabeth
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,None,Boston,MA,51003,USA,None,Yoshido,Juri
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,None,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,None,Oulu,None,90110,Finland,EMEA,Koskitalo,Pirkko
The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,None,San Jose,CA,94217,USA,None,Frick,Sue
"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",None,Paris,None,75012,France,EMEA,Bertrand,Marie
Mini Auto Werke,7675-3555,Kirchgasse 6,None,Graz,None,8010,Austria,EMEA,Mendel,Roland
Diecast Collectables,6175552555,6251 Ingle Ln.,None,Boston,MA,51003,USA,None,Franco,Valarie
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,None,69045,Singapore,APAC,Victorino,Wendy
Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,None,Makati City,None,1227 MM,Philippines,Japan,Cruz,Arnold
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",None,Marseille,None,13008,France,EMEA,Lebihan,Laurence
"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,None,Koln,None,50739,Germany,EMEA,Pfalzheim,Henriette
"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,None,Gensve,None,1203,Switzerland,EMEA,Holz,Michael
L'ordine Souveniers,0522-556555,Strada Provinciale 124,None,Reggio Emilia,None,42100,Italy,EMEA,Moroni,Maurizio
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,None,Brickhaven,MA,58339,USA,None,Barajas,Miguel
"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,None,Frankfurt,None,60528,Germany,EMEA,Keitel,Roland
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",None,Espoo,None,FIN-02271,Finland,EMEA,Suominen,Kalle
Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,None,Young,Jeff
"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,None,2,Ireland,EMEA,Cassidy,Dean
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",None,Madrid,None,28023,Spain,EMEA,Fernandez,Jesus
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,None,Manchester,None,EC2 5NT,UK,EMEA,Ashworth,Victoria
Heintze Collectables,86 21 3555,Smagsloget 45,None,Aaarhus,None,8200,Denmark,EMEA,Ibsen,Palle
Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,None,Kuo,Kee
Boards & Toys Co.,3105552373,4097 Douglas Av.,None,Glendale,CA,92561,USA,None,Young,Leslie
"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",None,Sevilla,None,41101,Spain,EMEA,Roel,Jose Pedro
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,None,Brisbane,CA,94217,USA,None,Taylor,Sue
Mini Caravy,88.60.1555,"24, place Kluber",None,Strasbourg,None,67000,France,EMEA,Citeaux,Frederique
Signal Gift Stores,7025551838,8489 Strong St.,None,Las Vegas,NV,83030,USA,None,King,Sue
"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",None,Oslo,None,N 0106,Norway,EMEA,Klaeboe,Jan
Rovelli Gifts,035-640555,Via Ludovico il Moro 22,None,Bergamo,None,24100,Italy,EMEA,Rovelli,Giovanni
"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,None,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean
Gift Ideas Corp.,2035554407,2440 Pompton St.,None,Glendale,CT,97561,USA,None,Lewis,Dan
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,None,Munich,None,80686,Germany,EMEA,Donnermeyer,Michael
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",None,Charleroi,None,B-6000,Belgium,EMEA,Cartrain,Pascale
Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,None,Brickhaven,MA,58339,USA,None,Taylor,Leslie
