ORDERNUMBER,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,DEALSIZE
10417,S10_4698,56,100.0,9218.16,4,Large
10105,S10_4757,50,100.0,7208.0,2,Large
10119,S10_4757,46,100.0,5004.8,11,Medium
10129,S10_4757,33,100.0,4398.24,2,Medium
10143,S10_4757,49,100.0,5597.76,15,Medium
10155,S10_4757,32,100.0,4526.08,13,Medium
10167,S10_4757,44,100.0,5924.16,9,Medium
10178,S10_4757,24,100.0,3492.48,12,Medium
10186,S10_4757,26,100.0,3854.24,9,Medium
10197,S10_4757,45,100.0,5324.4,6,Medium
10209,S10_4757,39,100.0,5197.92,8,Medium
10222,S10_4757,49,100.0,5997.6,12,Medium
10248,S10_4757,20,100.0,2910.4,3,Small
10261,S10_4757,27,100.0,3378.24,1,Medium
10273,S10_4757,30,100.0,3508.8,4,Medium
10283,S10_4757,25,100.0,2992.0,6,Small
10295,S10_4757,24,100.0,3427.2,1,Medium
10307,S10_4757,22,100.0,2692.8,9,Small
10316,S10_4757,33,100.0,4128.96,17,Medium
10325,S10_4757,47,64.93,3051.71,6,Medium
10337,S10_4757,25,48.05,1201.25,8,Small
10350,S10_4757,26,75.47,1962.22,5,Small
10359,S10_4757,48,54.68,2624.64,6,Small
10373,S10_4757,39,100.0,4046.25,3,Medium
10384,S10_4757,34,100.0,4846.7,4,Medium
10395,S10_4757,32,100.0,3370.56,2,Medium
10400,S10_4757,64,100.0,9661.44,9,Large
10414,S10_4757,19,100.0,2764.88,3,Small
10103,S10_4962,42,100.0,5398.26,4,Medium
10114,S10_4962,31,100.0,4305.28,8,Medium
10126,S10_4962,22,100.0,3347.74,4,Medium
10140,S10_4962,26,100.0,3188.12,4,Medium
10150,S10_4962,20,100.0,3191.2,1,Medium
10164,S10_4962,21,100.0,3536.82,2,Medium
10175,S10_4962,33,100.0,5362.83,9,Medium
10183,S10_4962,28,100.0,3433.36,1,Medium
10194,S10_4962,26,100.0,4263.74,4,Medium
10207,S10_4962,31,100.0,4076.19,15,Medium
10217,S10_4962,48,100.0,7020.48,4,Large
10229,S10_4962,50,100.0,6426.5,9,Medium
10245,S10_4962,28,100.0,4591.72,2,Medium
10259,S10_4962,26,100.0,4033.38,12,Medium
10270,S10_4962,32,100.0,4302.08,2,Medium
10281,S10_4962,44,100.0,7020.64,9,Large
10291,S10_4962,30,100.0,3855.9,4,Medium
10305,S10_4962,38,100.0,6680.78,13,Medium
10313,S10_4962,40,100.0,6678.0,7,Medium
10322,S10_4962,46,61.99,2851.54,8,Small
10334,S10_4962,26,100.0,3188.12,2,Medium
10347,S10_4962,27,100.0,4428.0,2,Medium
10357,S10_4962,43,100.0,5780.92,9,Medium
10370,S10_4962,35,65.63,2297.05,4,Small
10381,S10_4962,37,100.0,6231.54,6,Medium
10391,S10_4962,37,46.9,1735.3,7,Small
10411,S10_4962,27,100.0,4427.73,2,Medium
10425,S10_4962,38,100.0,5894.94,12,Medium
10108,S12_1099,33,100.0,5265.15,6,Medium
10122,S12_1099,42,100.0,7599.9,10,Large
10135,S12_1099,42,100.0,8008.56,7,Large
10147,S12_1099,48,100.0,9245.76,7,Large
10159,S12_1099,41,100.0,8296.35,2,Large
10169,S12_1099,30,100.0,5019.9,2,Medium
10181,S12_1099,27,100.0,5411.07,14,Medium
10191,S12_1099,21,100.0,3840.9,3,Medium
10203,S12_1099,20,100.0,3930.4,8,Medium
10211,S12_1099,41,100.0,7498.9,2,Large
10225,S12_1099,27,100.0,4517.91,9,Medium
10238,S12_1099,28,100.0,5774.72,3,Medium
10253,S12_1099,24,100.0,3922.56,13,Medium
10266,S12_1099,44,100.0,9160.36,14,Large
10276,S12_1099,50,100.0,9631.0,3,Large
10287,S12_1099,21,100.0,3432.24,12,Medium
10300,S12_1099,33,100.0,5521.89,5,Medium
10310,S12_1099,33,100.0,6934.62,10,Medium
10320,S12_1099,31,100.0,6876.11,3,Medium
10329,S12_1099,41,71.47,2930.27,5,Small
10341,S12_1099,45,79.65,3584.25,2,Medium
10363,S12_1099,33,85.39,2817.87,3,Small
10375,S12_1099,45,76.0,3420.0,7,Medium
10389,S12_1099,26,99.04,2575.04,4,Small
10419,S12_1099,12,100.0,1961.28,13,Small
10105,S12_1108,41,100.0,8690.36,15,Large
10117,S12_1108,33,100.0,6034.38,9,Medium
10127,S12_1108,46,100.0,11279.2,2,Large
10142,S12_1108,33,100.0,8023.29,12,Large
10153,S12_1108,20,100.0,4904.0,11,Medium
10165,S12_1108,44,100.0,8594.52,3,Large
10176,S12_1108,33,100.0,7474.5,2,Large
10185,S12_1108,21,100.0,3883.74,13,Medium
10196,S12_1108,47,100.0,8887.7,5,Large
10208,S12_1108,46,100.0,8602.92,13,Large
10220,S12_1108,32,100.0,7181.44,2,Large
10231,S12_1108,42,100.0,8378.58,2,Large
10247,S12_1108,44,100.0,10606.2,2,Large
10272,S12_1108,35,100.0,5818.4,2,Medium
10282,S12_1108,41,100.0,7071.27,5,Large
10293,S12_1108,46,100.0,8411.56,8,Large
10306,S12_1108,31,100.0,6570.76,13,Medium
10314,S12_1108,38,100.0,7975.44,5,Large
10325,S12_1108,42,64.0,2688.0,8,Small
10336,S12_1108,33,57.22,1888.26,10,Small
10348,S12_1108,48,52.36,2513.28,8,Small
10359,S12_1108,42,100.0,4764.48,8,Medium
10371,S12_1108,32,100.0,3560.64,6,Medium
10382,S12_1108,34,100.0,3823.64,10,Medium
10395,S12_1108,33,69.12,2280.96,1,Small
10413,S12_1108,36,100.0,8677.8,2,Large
10103,S12_1666,27,100.0,3394.98,8,Medium
10113,S12_1666,21,100.0,3415.44,2,Medium
10126,S12_1666,21,100.0,2439.57,8,Small
10140,S12_1666,38,100.0,4829.8,8,Medium
10150,S12_1666,30,100.0,4100.1,5,Medium
10164,S12_1666,49,100.0,6563.06,6,Medium
10174,S12_1666,43,100.0,6817.22,1,Medium
10183,S12_1666,41,100.0,6163.94,5,Medium
10194,S12_1666,38,100.0,4933.92,8,Medium
10206,S12_1666,28,100.0,4056.36,3,Medium
10216,S12_1666,43,100.0,5759.42,1,Medium
10229,S12_1666,25,100.0,3451.0,13,Medium
10245,S12_1666,38,100.0,5920.4,6,Medium
10258,S12_1666,41,100.0,6668.24,3,Medium
10270,S12_1666,28,100.0,4094.72,6,Medium
10281,S12_1666,25,100.0,2938.5,13,Small
10291,S12_1666,41,100.0,6387.8,8,Medium
10304,S12_1666,39,100.0,6396.0,3,Medium
10313,S12_1666,21,100.0,2669.1,11,Small
10322,S12_1666,27,100.0,4784.13,9,Medium
10333,S12_1666,33,99.21,3273.93,6,Medium
10347,S12_1666,29,100.0,3586.43,3,Medium
10357,S12_1666,49,100.0,5960.36,8,Medium
10370,S12_1666,49,100.0,8470.14,8,Large
10381,S12_1666,20,100.0,2952.0,1,Small
10391,S12_1666,39,63.2,2464.8,9,Small
10411,S12_1666,40,100.0,6232.0,6,Medium
10424,S12_1666,49,100.0,7969.36,3,Large
10107,S12_2823,21,100.0,3036.6,1,Medium
10121,S12_2823,50,100.0,8284.0,4,Large
10134,S12_2823,20,100.0,2711.2,1,Small
10145,S12_2823,49,100.0,8339.8,5,Large
10159,S12_2823,38,100.0,6238.84,13,Medium
10169,S12_2823,35,100.0,4639.25,13,Medium
10180,S12_2823,40,100.0,6747.6,8,Medium
10189,S12_2823,28,100.0,4512.48,1,Medium
10201,S12_2823,25,100.0,4029.0,1,Medium
10211,S12_2823,36,100.0,4771.8,13,Medium
10224,S12_2823,43,100.0,6087.94,6,Medium
10237,S12_2823,32,100.0,4193.28,6,Medium
10251,S12_2823,46,100.0,7552.28,1,Large
10263,S12_2823,48,100.0,6434.4,1,Medium
10276,S12_2823,43,100.0,5181.5,14,Medium
10285,S12_2823,49,100.0,6863.92,5,Medium
10299,S12_2823,24,100.0,4157.04,8,Medium
10309,S12_2823,26,100.0,4660.24,4,Medium
10319,S12_2823,30,100.0,4111.8,9,Medium
10329,S12_2823,24,100.0,3542.64,6,Medium
10341,S12_2823,55,100.0,8118.55,8,Large
10362,S12_2823,22,100.0,3877.06,1,Medium
10375,S12_2823,49,78.92,3867.08,13,Medium
10388,S12_2823,44,100.0,5951.44,6,Medium
10403,S12_2823,66,100.0,8648.64,6,Large
10417,S12_2823,21,100.0,3447.78,1,Medium
10104,S12_3148,34,100.0,5958.5,1,Medium
10117,S12_3148,43,100.0,5911.64,10,Medium
10127,S12_3148,46,100.0,7366.44,3,Large
10142,S12_3148,33,100.0,4985.64,13,Medium
10153,S12_3148,42,100.0,5393.64,12,Medium
10165,S12_3148,34,100.0,4880.02,4,Medium
10176,S12_3148,47,100.0,8378.69,3,Large
10185,S12_3148,33,100.0,4038.21,14,Medium
10196,S12_3148,24,100.0,3807.12,6,Medium
10208,S12_3148,26,100.0,3142.36,14,Medium
10220,S12_3148,30,100.0,4713.6,3,Medium
10230,S12_3148,43,100.0,7016.31,1,Large
10247,S12_3148,25,100.0,4381.25,3,Medium
10272,S12_3148,27,100.0,4283.01,3,Medium
10282,S12_3148,27,100.0,4364.82,6,Medium
10293,S12_3148,24,100.0,4242.24,9,Medium
10306,S12_3148,34,100.0,4982.7,14,Medium
10314,S12_3148,46,100.0,6393.54,6,Medium
10324,S12_3148,27,54.33,1466.91,1,Small
10336,S12_3148,33,100.0,4059.33,11,Medium
10348,S12_3148,47,100.0,4801.52,4,Medium
10358,S12_3148,49,55.34,2711.66,5,Small
10372,S12_3148,40,100.0,5862.0,4,Medium
10382,S12_3148,37,100.0,4071.85,11,Medium
10413,S12_3148,47,100.0,8236.75,3,Large
10108,S12_3380,45,100.0,6130.35,4,Medium
10122,S12_3380,37,99.82,3693.34,8,Medium
10135,S12_3380,48,100.0,6031.68,5,Medium
10147,S12_3380,31,100.0,3494.94,5,Medium
10160,S12_3380,46,100.0,5294.14,6,Medium
10170,S12_3380,47,100.0,5464.69,4,Medium
10181,S12_3380,28,100.0,2860.76,12,Small
10191,S12_3380,40,100.0,5590.0,1,Medium
10203,S12_3380,20,100.0,2254.8,6,Small
10212,S12_3380,39,100.0,4946.76,16,Medium
10225,S12_3380,25,99.82,2495.5,7,Small
10238,S12_3380,29,100.0,3167.38,1,Medium
10253,S12_3380,22,100.0,2402.84,11,Small
10266,S12_3380,22,100.0,2454.54,12,Small
10276,S12_3380,47,100.0,5464.69,1,Medium
10287,S12_3380,45,100.0,4756.5,10,Medium
10300,S12_3380,29,100.0,3984.6,3,Medium
10310,S12_3380,24,100.0,3100.32,8,Medium
10320,S12_3380,35,100.0,4850.3,1,Medium
10329,S12_3380,46,83.63,3846.98,13,Medium
10341,S12_3380,44,95.93,4220.92,1,Medium
10363,S12_3380,34,96.73,3288.82,4,Medium
10376,S12_3380,35,100.0,3987.2,1,Medium
10389,S12_3380,25,72.38,1809.5,6,Small
10419,S12_3380,10,100.0,1092.2,11,Small
10105,S12_3891,29,100.0,4566.05,14,Medium
10117,S12_3891,39,100.0,5938.14,8,Medium
10127,S12_3891,42,100.0,8138.76,1,Large
10142,S12_3891,46,100.0,9470.94,11,Large
10153,S12_3891,49,100.0,7036.89,10,Large
10165,S12_3891,27,100.0,5559.03,2,Medium
10176,S12_3891,50,100.0,7872.5,1,Large
10185,S12_3891,43,100.0,7886.2,12,Large
10196,S12_3891,38,100.0,7232.16,4,Large
10208,S12_3891,20,100.0,3114.4,12,Medium
10220,S12_3891,27,100.0,5045.22,1,Medium
10231,S12_3891,49,100.0,6952.12,1,Medium
10247,S12_3891,27,100.0,4157.73,1,Medium
10272,S12_3891,39,100.0,7962.24,1,Large
10282,S12_3891,24,100.0,3778.8,4,Medium
10293,S12_3891,45,100.0,8253.0,7,Large
10306,S12_3891,20,100.0,3633.4,12,Medium
10314,S12_3891,36,100.0,6913.8,4,Medium
10325,S12_3891,24,100.0,2583.6,1,Small
10336,S12_3891,49,63.38,3105.62,1,Medium
10349,S12_3891,26,100.0,4408.56,10,Medium
10359,S12_3891,49,62.09,3042.41,5,Medium
10372,S12_3891,34,100.0,5941.5,1,Medium
10382,S12_3891,34,95.35,3241.9,12,Medium
10396,S12_3891,33,100.0,6109.29,3,Medium
10413,S12_3891,22,100.0,3387.78,1,Medium
10108,S12_3990,39,89.38,3485.82,7,Medium
10122,S12_3990,32,63.84,2042.88,11,Small
10135,S12_3990,24,75.01,1800.24,8,Small
10147,S12_3990,21,63.84,1340.64,8,Small
10159,S12_3990,24,73.42,1762.08,3,Small
10169,S12_3990,36,63.84,2298.24,3,Small
10181,S12_3990,20,81.4,1628.0,15,Small
10191,S12_3990,30,64.64,1939.2,4,Small
10203,S12_3990,44,82.99,3651.56,9,Medium
10211,S12_3990,28,92.57,2591.96,3,Small
10225,S12_3990,37,77.41,2864.17,10,Small
10238,S12_3990,20,74.21,1484.2,4,Small
10253,S12_3990,25,90.17,2254.25,14,Small
10266,S12_3990,35,76.61,2681.35,15,Small
10276,S12_3990,38,83.79,3184.02,4,Medium
10287,S12_3990,41,69.43,2846.63,13,Small
10300,S12_3990,22,76.61,1685.42,6,Small
10310,S12_3990,49,81.4,3988.6,11,Medium
10320,S12_3990,38,73.42,2789.96,4,Small
10329,S12_3990,33,100.0,3607.56,14,Medium
10341,S12_3990,36,93.56,3368.16,10,Medium
10363,S12_3990,34,81.62,2775.08,5,Small
10377,S12_3990,24,67.83,1627.92,5,Small
10389,S12_3990,36,70.26,2529.36,7,Small
10419,S12_3990,34,90.17,3065.78,14,Medium
10104,S12_4473,41,100.0,4615.78,9,Medium
10115,S12_4473,46,100.0,5723.78,5,Medium
10127,S12_4473,24,100.0,2559.6,11,Small
10141,S12_4473,21,100.0,2140.11,5,Small
10151,S12_4473,24,100.0,3327.6,3,Medium
10165,S12_4473,48,100.0,6825.6,12,Medium
10175,S12_4473,26,100.0,3543.28,1,Medium
10184,S12_4473,37,100.0,4516.22,6,Medium
10195,S12_4473,49,100.0,6445.46,6,Medium
10207,S12_4473,34,99.54,3384.36,7,Medium
10219,S12_4473,48,100.0,4891.68,2,Medium
10229,S12_4473,36,100.0,4521.96,1,Medium
10246,S12_4473,46,100.0,5069.66,5,Medium
10259,S12_4473,46,100.0,6541.2,4,Medium
10271,S12_4473,31,97.17,3012.27,5,Medium
10281,S12_4473,41,100.0,5247.18,1,Medium
10292,S12_4473,21,100.0,2214.87,8,Small
10305,S12_4473,38,100.0,4773.18,5,Medium
10314,S12_4473,45,100.0,6185.7,14,Medium
10324,S12_4473,26,58.38,1517.88,7,Small
10336,S12_4473,38,100.0,6372.6,3,Medium
10349,S12_4473,48,100.0,5232.96,9,Medium
10358,S12_4473,42,64.16,2694.72,9,Small
10371,S12_4473,49,35.71,1749.79,4,Small
10382,S12_4473,32,66.58,2130.56,13,Small
10412,S12_4473,54,100.0,5951.34,5,Medium
10425,S12_4473,33,100.0,4692.6,4,Medium
10108,S12_4675,36,100.0,3731.04,3,Medium
10122,S12_4675,20,100.0,2142.0,7,Small
10135,S12_4675,29,97.89,2838.81,4,Small
10147,S12_4675,33,97.89,3230.37,4,Medium
10160,S12_4675,50,100.0,5182.0,5,Medium
10170,S12_4675,41,100.0,4391.1,3,Medium
10181,S12_4675,36,100.0,4477.32,11,Medium
10192,S12_4675,27,100.0,3544.56,16,Medium
10203,S12_4675,47,100.0,5195.85,5,Medium
10212,S12_4675,33,100.0,4180.44,15,Medium
10225,S12_4675,21,100.0,2684.43,6,Small
10239,S12_4675,21,93.28,1958.88,5,Small
10253,S12_4675,41,100.0,4910.57,10,Medium
10266,S12_4675,40,100.0,4468.4,11,Medium
10277,S12_4675,28,100.0,3127.88,1,Medium
10287,S12_4675,23,100.0,2675.13,9,Small
10300,S12_4675,23,100.0,2807.61,2,Small
10310,S12_4675,25,100.0,2504.75,7,Small
10321,S12_4675,24,100.0,2984.88,15,Small
10329,S12_4675,39,64.74,2524.86,15,Small
10341,S12_4675,55,75.2,4136.0,7,Medium
10363,S12_4675,46,88.45,4068.7,6,Medium
10377,S12_4675,50,100.0,5182.0,1,Medium
10389,S12_4675,47,100.0,5243.79,8,Medium
10405,S12_4675,97,93.28,9048.16,5,Large
10419,S12_4675,32,100.0,3832.64,10,Medium
10103,S18_1097,35,100.0,3920.0,10,Medium
10113,S18_1097,49,100.0,4916.66,4,Medium
10126,S18_1097,38,100.0,3857.0,10,Medium
10140,S18_1097,32,100.0,4181.44,10,Medium
10150,S18_1097,34,100.0,4641.0,7,Medium
10164,S18_1097,36,99.17,3570.12,8,Medium
10174,S18_1097,48,93.34,4480.32,3,Medium
10183,S18_1097,21,96.84,2033.64,7,Small
10194,S18_1097,21,93.34,1960.14,10,Small
10206,S18_1097,34,100.0,3966.78,5,Medium
10215,S18_1097,46,100.0,5152.0,2,Medium
10228,S18_1097,32,100.0,3360.0,1,Medium
10245,S18_1097,29,100.0,3451.0,8,Medium
10258,S18_1097,41,100.0,5453.0,5,Medium
10270,S18_1097,43,96.84,4164.12,8,Medium
10280,S18_1097,24,100.0,2800.08,1,Small
10291,S18_1097,41,100.0,4687.94,10,Medium
10304,S18_1097,46,98.0,4508.0,5,Medium
10312,S18_1097,32,100.0,4181.44,2,Medium
10322,S18_1097,22,100.0,2251.04,10,Small
10333,S18_1097,29,40.25,1167.25,7,Small
10347,S18_1097,42,49.6,2083.2,5,Small
10357,S18_1097,39,98.0,3822.0,1,Medium
10370,S18_1097,27,100.0,3911.49,1,Medium
10381,S18_1097,48,98.0,4704.0,2,Medium
10391,S18_1097,29,85.1,2467.9,10,Small
10411,S18_1097,27,100.0,3213.0,8,Medium
10424,S18_1097,54,100.0,7182.0,5,Large
10109,S18_1129,26,100.0,4379.18,4,Medium
10122,S18_1129,34,100.0,5004.8,2,Medium
10136,S18_1129,25,100.0,3644.75,2,Medium
10148,S18_1129,23,100.0,2702.04,13,Small
10161,S18_1129,28,100.0,3764.88,12,Medium
10171,S18_1129,35,100.0,4508.0,2,Medium
10181,S18_1129,44,100.0,5418.16,6,Medium
10192,S18_1129,22,100.0,3300.66,11,Medium
10204,S18_1129,42,100.0,6182.4,17,Medium
10212,S18_1129,29,100.0,4186.73,10,Medium
10225,S18_1129,32,100.0,4529.28,1,Medium
10240,S18_1129,41,100.0,5628.89,3,Medium
10253,S18_1129,26,100.0,3054.48,5,Medium
10266,S18_1129,21,100.0,2526.51,6,Small
10278,S18_1129,34,100.0,4667.86,6,Medium
10287,S18_1129,41,100.0,6499.32,4,Medium
10301,S18_1129,37,100.0,5917.78,8,Medium
10310,S18_1129,37,100.0,6231.91,2,Medium
10321,S18_1129,41,100.0,5803.14,10,Medium
10331,S18_1129,46,100.0,6434.02,6,Medium
10342,S18_1129,40,100.0,6454.4,2,Medium
10356,S18_1129,43,97.6,4196.8,8,Medium
10365,S18_1129,30,87.06,2611.8,1,Small
10377,S18_1129,35,100.0,5895.05,2,Medium
10390,S18_1129,36,93.77,3375.72,14,Medium
10406,S18_1129,61,100.0,8374.69,3,Large
10419,S18_1129,38,100.0,4464.24,5,Medium
10102,S18_1342,39,100.0,4808.31,2,Medium
10111,S18_1342,33,99.66,3288.78,6,Medium
10125,S18_1342,32,100.0,3254.72,1,Medium
10139,S18_1342,31,100.0,3184.94,7,Medium
10149,S18_1342,50,100.0,5907.5,4,Medium
10162,S18_1342,48,91.44,4389.12,2,Medium
10173,S18_1342,43,100.0,5036.16,6,Medium
10182,S18_1342,25,87.33,2183.25,3,Small
10193,S18_1342,28,100.0,3106.88,7,Medium
10205,S18_1342,36,100.0,3735.72,2,Medium
10215,S18_1342,27,89.38,2413.26,10,Small
10227,S18_1342,25,100.0,2953.75,3,Small
10244,S18_1342,40,100.0,4684.8,7,Medium
10256,S18_1342,34,95.55,3248.7,2,Medium
10280,S18_1342,50,100.0,5239.5,9,Medium
10289,S18_1342,38,100.0,4567.98,2,Medium
10304,S18_1342,37,95.55,3535.35,13,Medium
10312,S18_1342,43,89.38,3843.34,10,Medium
10322,S18_1342,43,86.3,3710.9,14,Medium
10332,S18_1342,46,95.13,4375.98,15,Medium
10346,S18_1342,42,36.11,1516.62,3,Small
10356,S18_1342,50,50.18,2509.0,9,Small
10369,S18_1342,44,100.0,9240.44,8,Large
10380,S18_1342,27,93.16,2515.32,13,Small
10391,S18_1342,35,100.0,5548.9,2,Medium
10422,S18_1342,51,95.55,4873.05,2,Medium
10102,S18_1367,41,50.14,2055.74,1,Small
10111,S18_1367,48,49.06,2354.88,5,Small
10126,S18_1367,42,54.99,2309.58,17,Small
10139,S18_1367,49,43.13,2113.37,6,Small
10149,S18_1367,30,58.22,1746.6,3,Small
10162,S18_1367,45,51.21,2304.45,1,Small
10173,S18_1367,48,44.21,2122.08,5,Small
10182,S18_1367,32,54.45,1742.4,2,Small
10193,S18_1367,46,53.37,2455.02,6,Small
10205,S18_1367,48,63.61,3053.28,1,Medium
10215,S18_1367,33,43.13,1423.29,9,Small
10227,S18_1367,31,48.52,1504.12,2,Small
10244,S18_1367,20,58.22,1164.4,6,Small
10256,S18_1367,29,51.75,1500.75,1,Small
10280,S18_1367,27,57.68,1557.36,8,Small
10289,S18_1367,24,56.07,1345.68,1,Small
10304,S18_1367,37,48.52,1795.24,12,Small
10312,S18_1367,25,44.21,1105.25,9,Small
10322,S18_1367,41,57.68,2364.88,5,Small
10332,S18_1367,27,89.89,2427.03,16,Small
10347,S18_1367,21,58.95,1237.95,7,Small
10356,S18_1367,22,72.41,1593.02,6,Small
10369,S18_1367,32,98.63,3156.16,7,Medium
10381,S18_1367,25,52.83,1320.75,9,Small
10391,S18_1367,42,100.0,4998.0,3,Medium
10422,S18_1367,25,51.75,1293.75,1,Small
10110,S18_1589,37,100.0,5433.08,16,Medium
10123,S18_1589,26,100.0,3073.72,2,Medium
10137,S18_1589,44,99.55,4380.2,2,Medium
10148,S18_1589,47,100.0,5848.68,9,Medium
10161,S18_1589,43,100.0,6153.73,8,Medium
10172,S18_1589,42,100.0,4965.24,6,Medium
10181,S18_1589,42,100.0,5435.64,2,Medium
10192,S18_1589,29,100.0,4258.36,7,Medium
10204,S18_1589,40,100.0,4032.0,13,Medium
10212,S18_1589,38,100.0,4492.36,6,Medium
10226,S18_1589,38,100.0,4161.38,4,Medium
10241,S18_1589,21,100.0,2508.66,11,Small
10253,S18_1589,24,100.0,3374.88,1,Medium
10266,S18_1589,36,100.0,5196.6,2,Medium
